kit_item_id,item_id,quantity_per_kit,kit_kit_id,kit_id
47,1,18,1,2
117,2,19,2,2
120,3,22,3,1
143,4,12,4,2
144,5,3,5,1
80,6,4,6,3
109,7,3,7,1
51,8,5,8,1
146,9,18,9,3
3,10,5,10,4
64,11,8,11,4
143,12,1,12,1
98,13,22,13,4
107,14,0,14,1
86,15,15,15,2
4,16,19,16,3
56,17,3,17,2
109,18,18,18,2
118,19,2,19,2
126,20,21,20,1
149,21,2,21,1
99,22,14,22,2
39,23,19,23,4
43,24,2,24,4
123,25,4,25,4
64,26,2,26,4
33,27,11,27,1
49,28,8,28,3
148,29,13,29,1
26,30,11,30,1
59,31,9,31,2
117,32,18,32,1
86,33,0,33,1
86,34,4,34,1
93,35,1,35,2
52,36,11,36,2
109,37,16,37,3
49,38,1,38,2
93,39,14,39,4
131,40,15,40,4
74,41,10,41,1
114,42,10,42,4
42,43,6,43,2
69,44,15,44,2
110,45,24,45,1
69,46,11,46,2
85,47,10,47,3
127,48,2,48,4
123,49,0,49,2
103,50,6,50,1
33,51,6,51,2
52,52,17,52,4
16,53,20,53,1
128,54,17,54,4
101,55,18,55,4
35,56,25,56,3
54,57,5,57,1
86,58,3,58,3
120,59,21,59,3
77,60,11,60,2
142,61,3,61,2
129,62,10,62,1
111,63,19,63,2
5,64,9,64,4
6,65,7,65,1
32,66,5,66,3
120,67,1,67,2
126,68,25,68,2
127,69,15,69,2
124,70,14,70,1
130,71,9,71,4
77,72,4,72,4
26,73,21,73,3
140,74,24,74,3
108,75,6,75,2
4,76,4,76,1
133,77,16,77,4
130,78,10,78,1
120,79,10,79,4
63,80,18,80,3
12,81,0,81,2
117,82,9,82,3
147,83,8,83,2
116,84,20,84,1
52,85,17,85,4
136,86,14,86,4
89,87,7,87,2
31,88,9,88,2
37,89,7,89,4
109,90,17,90,3
88,91,19,91,1
77,92,24,92,1
2,93,17,93,2
50,94,4,94,2
33,95,1,95,4
94,96,25,96,1
29,97,9,97,3
127,98,12,98,2
83,99,0,99,2
57,100,24,100,1
23,101,5,101,4
6,102,18,102,1
115,103,8,103,1
38,104,24,104,2
71,105,12,105,1
87,106,11,106,1
147,107,11,107,1
45,108,3,108,4
14,109,8,109,1
32,110,20,110,4
96,111,3,111,3
129,112,6,112,1
41,113,13,113,4
131,114,23,114,2
45,115,5,115,2
42,116,9,116,1
94,117,6,117,2
81,118,16,118,3
150,119,9,119,3
118,120,18,120,1
128,121,24,121,1
41,122,18,122,1
102,123,1,123,3
133,124,4,124,2
77,125,11,125,1
139,126,8,126,2
85,127,24,127,3
129,128,6,128,2
133,129,19,129,4
84,130,16,130,4
57,131,18,131,2
150,132,14,132,1
70,133,7,133,4
18,134,0,134,4
92,135,20,135,1
130,136,15,136,1
132,137,20,137,2
8,138,21,138,3
119,139,25,139,2
104,140,2,140,1
2,141,20,141,1
122,142,25,142,4
41,143,16,143,3
148,144,16,144,2
66,145,13,145,3
22,146,0,146,1
74,147,21,147,4
14,148,23,148,1
65,149,16,149,4
102,150,1,150,3
