purchase_id,invoice_number,purchase_date,vendor_name,purchase_total
1,082902472,3/22/2025,Photobug,6250.47
2,322270055,8/20/2024,Skyba,8002.34
3,322276871,2/20/2025,Oloo,4868.63
4,064107994,8/15/2024,Fivebridge,1524.52
5,063000047,9/4/2024,Photospace,648.44
6,111322583,11/15/2024,Yodel,5572.67
7,274970775,6/2/2025,Vitz,4016.98
8,011304517,12/27/2024,Twitterlist,5846.37
9,031308810,12/14/2024,Photobug,8032.69
10,244172082,5/7/2025,Yakijo,9876.57
11,071125587,3/31/2025,Vimbo,7993.47
12,103108249,1/1/2025,Tambee,9405.87
13,084205766,6/6/2025,Kamba,731.57
14,122239335,8/27/2024,Quire,7102.95
15,241070433,5/23/2025,Kanoodle,629.22
16,092901476,11/7/2024,Rhyzio,4340.68
17,103106542,11/12/2024,Flipopia,6610.06
18,055000262,3/9/2025,Voonte,7602.82
19,107006677,8/11/2024,Yodo,5014.19
20,275971582,7/28/2025,Devpoint,8027.26
21,313173349,1/16/2025,Skynoodle,5010.51
22,075901354,10/24/2024,Skimia,5499.45
23,056009110,12/4/2024,Trudeo,7576.98
24,086506955,4/17/2025,Vimbo,4463.65
25,321174262,6/15/2025,Rhynyx,1047.87
26,103101482,6/1/2025,Topicstorm,3424.09
27,111313204,7/9/2025,Tagtune,7095.87
28,067006432,12/16/2024,Avaveo,8899.94
29,271970066,12/23/2024,Skajo,5121.26
30,101089823,4/28/2025,Meevee,3165.08
31,321180748,1/17/2025,Zoomcast,3217.35
32,075912165,6/13/2025,Roodel,9557.99
33,104901034,6/9/2025,Rhyloo,5290.82
34,053201814,1/7/2025,Quinu,3307.52
35,231375520,1/3/2025,Yambee,2812.81
36,111907555,12/16/2024,Dynava,9063.97
37,113105449,11/25/2024,Quimba,3973.02
38,051405405,8/1/2025,Blogtags,3700.33
39,103102216,12/12/2024,Buzzshare,4966.1
40,107006075,9/27/2024,Digitube,4179.16
41,064103464,2/24/2025,Photofeed,8689.47
42,011110659,12/7/2024,Browsebug,565.3
43,103110046,6/13/2025,Eabox,8294.31
44,103103642,7/17/2025,Skippad,4925.68
45,065302154,1/10/2025,Camimbo,418.89
46,051409139,1/25/2025,Kanoodle,9274.59
47,055001054,10/13/2024,Devpulse,4887.39
48,092902271,2/12/2025,Eire,8912.94
49,061192740,1/24/2025,Twimbo,626.58
50,071122535,10/31/2024,Wikizz,3762.1
51,041001039,4/2/2025,Zooxo,7397.22
52,111024849,11/3/2024,Dabtype,601.65
53,075912233,6/29/2025,Trupe,223.19
54,104901717,6/20/2025,Vipe,945.64
55,123308090,8/17/2024,Mydo,6073.93
56,122242018,6/3/2025,Browsetype,4378.14
57,211273309,4/27/2025,Twitternation,2863.71
58,104110922,4/4/2025,Demivee,4676.64
59,064103914,5/21/2025,Lazzy,59.15
60,074902082,10/24/2024,Yata,2001.93
61,211179982,9/15/2024,Brainlounge,7332.36
62,081001387,7/5/2025,Voomm,2742.87
63,122000496,6/23/2025,Dynazzy,171.4
64,053902197,4/26/2025,Meemm,6732.41
65,065303467,3/10/2025,Pixope,1656.77
66,044112488,11/16/2024,Realcube,1629.78
67,112201218,9/11/2024,Photobug,5339.08
68,071102568,8/30/2024,Innotype,9321.37
69,221970346,1/15/2025,Gabvine,7609.9
70,062202082,9/30/2024,Tanoodle,9929.31
71,064202514,5/11/2025,Centizu,2942.99
72,091914710,6/13/2025,Omba,280.9
73,104903294,12/27/2024,Fivechat,4439.69
74,322281057,5/3/2025,Tazzy,4103.5
75,111907717,5/4/2025,Mynte,138.01
76,074908303,2/9/2025,Oba,739.0
77,051400549,10/28/2024,Tekfly,1515.21
78,064101178,8/14/2024,Dynava,1256.32
79,042100272,2/16/2025,Youtags,2425.75
80,242071758,6/29/2025,JumpXS,7849.12
81,103101107,7/21/2025,Skyble,650.18
82,271979193,2/12/2025,Jabbersphere,9595.77
83,053003931,9/27/2024,Edgeify,5166.24
84,125006390,2/19/2025,Trudoo,8417.45
85,101104041,10/16/2024,Bubblebox,1594.19
86,011305749,1/8/2025,Rhybox,1043.89
87,073922539,7/3/2025,Buzzshare,5893.59
88,091913177,7/31/2025,Linklinks,9445.1
89,111302545,12/13/2024,Leenti,5785.51
