inventory_id,item_id,quantity_in_stock,last_updated
1,1,52,8/21/2024
2,2,22,11/23/2024
3,3,99,8/26/2024
4,4,70,9/13/2024
5,5,52,3/5/2025
6,6,31,4/29/2025
7,7,29,2/17/2025
8,8,64,11/1/2024
9,9,16,10/15/2024
10,10,93,1/7/2025
11,11,12,11/1/2024
12,12,81,9/16/2024
13,13,38,10/28/2024
14,14,84,2/26/2025
15,15,22,10/12/2024
16,16,82,2/9/2025
17,17,28,5/28/2025
18,18,59,10/19/2024
19,19,84,5/16/2025
20,20,50,6/10/2025
21,21,71,3/3/2025
22,22,32,6/11/2025
23,23,72,7/30/2025
24,24,28,4/15/2025
25,25,99,4/7/2025
26,26,44,1/21/2025
27,27,55,12/19/2024
28,28,81,5/20/2025
29,29,95,10/25/2024
30,30,61,12/14/2024
31,31,28,12/24/2024
32,32,93,4/28/2025
33,33,30,8/15/2024
34,34,54,2/19/2025
35,35,86,8/27/2024
36,36,6,2/12/2025
37,37,72,11/21/2024
38,38,71,7/16/2025
39,39,38,5/3/2025
40,40,82,10/28/2024
41,41,49,10/10/2024
42,42,75,3/20/2025
43,43,25,7/13/2025
44,44,72,10/10/2024
45,45,3,8/18/2024
46,46,8,11/22/2024
47,47,22,8/18/2024
48,48,94,1/26/2025
49,49,87,6/15/2025
50,50,85,7/19/2025
51,51,63,1/6/2025
52,52,93,11/23/2024
53,53,66,11/6/2024
54,54,69,5/7/2025
55,55,43,6/9/2025
56,56,60,4/10/2025
57,57,97,9/14/2024
58,58,89,8/9/2025
59,59,46,3/30/2025
60,60,6,12/7/2024
61,61,84,6/24/2025
62,62,100,11/23/2024
63,63,86,12/28/2024
64,64,92,1/6/2025
65,65,86,3/31/2025
66,66,37,3/2/2025
67,67,49,7/27/2025
68,68,60,5/25/2025
69,69,58,8/4/2025
70,70,64,6/18/2025
71,71,87,10/21/2024
72,72,69,5/1/2025
73,73,67,8/10/2025
74,74,68,7/21/2025
75,75,43,8/6/2025
76,76,50,10/9/2024
77,77,84,3/15/2025
78,78,17,6/9/2025
79,79,41,3/2/2025
80,80,62,5/31/2025
81,81,46,8/7/2025
82,82,76,10/16/2024
83,83,27,8/10/2025
84,84,70,11/13/2024
85,85,48,11/2/2024
86,86,88,10/1/2024
87,87,0,6/29/2025
88,88,33,10/12/2024
89,89,62,8/23/2024
90,90,18,5/7/2025
91,91,42,12/19/2024
92,92,23,11/23/2024
93,93,61,12/21/2024
94,94,43,4/29/2025
95,95,100,9/22/2024
96,96,12,4/19/2025
97,97,73,1/5/2025
98,98,5,12/11/2024
99,99,59,8/17/2024
100,100,88,5/22/2025
101,101,47,10/1/2024
102,102,73,6/11/2025
103,103,8,9/14/2024
104,104,13,5/7/2025
105,105,100,9/4/2024
106,106,52,7/21/2025
107,107,81,9/12/2024
108,108,13,2/11/2025
109,109,12,9/27/2024
110,110,7,3/16/2025
111,111,74,10/10/2024
112,112,72,6/9/2025
113,113,65,5/19/2025
114,114,91,2/21/2025
115,115,21,9/30/2024
116,116,37,3/2/2025
117,117,59,3/2/2025
118,118,38,1/31/2025
119,119,35,9/25/2024
120,120,13,2/21/2025
121,121,23,7/24/2025
122,122,19,10/17/2024
123,123,85,3/15/2025
124,124,82,4/23/2025
125,125,96,11/4/2024
126,126,4,12/9/2024
127,127,66,2/16/2025
128,128,19,8/27/2024
129,129,97,3/18/2025
130,130,90,10/6/2024
131,131,92,6/3/2025
132,132,3,4/7/2025
133,133,11,5/24/2025
134,134,90,6/11/2025
135,135,4,8/30/2024
136,136,52,3/14/2025
137,137,22,7/23/2025
138,138,38,6/8/2025
139,139,33,11/23/2024
140,140,16,8/30/2024
141,141,57,1/2/2025
142,142,76,4/9/2025
143,143,18,10/17/2024
144,144,0,11/16/2024
145,145,56,9/19/2024
146,146,80,7/30/2025
147,147,90,7/15/2025
148,148,56,1/17/2025
149,149,72,5/26/2025
150,150,3,5/13/2025
