order_id,item_id,item_item_id,quantity_needed,order_date,status
1,2,27,9,7/29/2025,
2,5,35,8,7/13/2025,
3,17,11,8,10/17/2024,
4,37,44,1,11/18/2024,
5,34,31,3,9/6/2024,
6,4,27,10,9/30/2024,
7,29,25,9,5/12/2025,
8,42,29,3,4/30/2025,
9,50,50,3,5/23/2025,
10,15,15,9,4/16/2025,
11,48,48,10,9/19/2024,
12,18,27,1,5/4/2025,
13,17,3,9,5/8/2025,
14,38,10,7,3/30/2025,
15,14,10,1,9/8/2024,
16,2,31,1,11/7/2024,
17,31,30,3,10/15/2024,
18,27,35,5,4/16/2025,
19,30,39,3,4/6/2025,
20,24,35,2,7/21/2025,
21,50,19,10,6/4/2025,
22,24,20,6,11/23/2024,
23,45,48,10,11/23/2024,
24,11,5,4,9/20/2024,
25,34,25,4,1/27/2025,
26,50,49,8,10/21/2024,
27,38,5,1,10/6/2024,
28,14,31,10,8/6/2025,
29,11,34,6,8/17/2024,
30,36,24,2,10/30/2024,
31,1,16,4,9/23/2024,
32,11,38,6,2/2/2025,
33,22,38,7,12/31/2024,
34,39,18,1,2/18/2025,
35,10,4,6,3/8/2025,
36,32,27,6,2/1/2025,
37,37,1,5,1/23/2025,
38,22,24,2,10/15/2024,
39,45,48,2,10/28/2024,
40,39,45,2,1/20/2025,
41,48,18,5,7/12/2025,
42,28,27,9,1/23/2025,
43,49,12,10,1/18/2025,
44,26,8,8,12/2/2024,
45,38,21,1,12/13/2024,
46,7,4,10,2/14/2025,
47,47,26,5,7/4/2025,
48,24,24,3,6/28/2025,
49,5,34,3,9/3/2024,
50,25,38,3,9/7/2024,
51,10,8,9,5/30/2025,
52,32,20,2,9/21/2024,
53,21,48,2,9/7/2024,
54,31,1,3,11/13/2024,
55,38,31,10,2/23/2025,
56,5,27,5,11/19/2024,
57,37,32,3,11/26/2024,
58,32,24,4,10/27/2024,
59,34,16,9,5/7/2025,
60,24,20,4,8/28/2024,
61,8,43,7,8/30/2024,
62,49,46,10,4/1/2025,
63,18,8,4,12/16/2024,
64,36,36,4,3/26/2025,
65,8,42,1,5/5/2025,
66,31,21,5,3/25/2025,
67,38,23,1,8/30/2024,
68,29,23,2,1/30/2025,
69,16,46,6,7/28/2025,
70,23,23,2,3/9/2025,
71,36,28,8,9/28/2024,
72,34,34,6,6/20/2025,
73,24,3,8,12/10/2024,
74,38,13,5,5/3/2025,
75,29,31,9,7/15/2025,
76,29,13,5,11/14/2024,
77,38,29,10,4/6/2025,
78,45,22,3,12/30/2024,
79,1,42,5,3/21/2025,
80,36,21,5,12/31/2024,
81,28,9,6,12/30/2024,
82,4,25,3,4/9/2025,
83,37,11,6,3/4/2025,
84,11,21,7,7/24/2025,
85,46,34,7,10/13/2024,
86,36,7,9,3/18/2025,
87,8,4,8,2/19/2025,
88,20,20,5,11/27/2024,
89,12,20,10,6/13/2025,
90,37,21,1,6/10/2025,
91,11,9,4,8/12/2024,
92,23,18,9,5/24/2025,
93,22,25,9,11/15/2024,
94,24,36,4,8/26/2024,
95,37,29,5,4/1/2025,
96,16,35,4,1/24/2025,
97,44,27,7,1/4/2025,
98,46,3,3,1/25/2025,
99,34,13,10,7/25/2025,
100,34,50,9,7/21/2025,
101,25,35,5,2/23/2025,
102,5,4,5,10/31/2024,
103,36,17,1,11/15/2024,
104,28,31,9,12/21/2024,
105,18,5,4,1/26/2025,
106,50,46,7,6/17/2025,
107,5,19,4,4/6/2025,
108,12,32,7,11/3/2024,
109,35,20,1,12/29/2024,
110,38,13,6,8/3/2025,
111,1,33,3,7/7/2025,
112,22,23,8,10/30/2024,
113,5,26,8,11/2/2024,
114,46,38,10,6/12/2025,
115,5,49,4,4/23/2025,
116,38,29,9,1/8/2025,
117,29,13,4,3/22/2025,
118,29,10,9,10/22/2024,
119,1,25,5,9/29/2024,
120,4,42,10,2/6/2025,
121,19,38,8,9/5/2024,
122,33,13,10,10/7/2024,
123,20,31,3,7/7/2025,
124,9,34,9,11/11/2024,
125,10,45,10,7/1/2025,
126,10,29,3,10/10/2024,
127,31,4,8,11/28/2024,
128,19,46,8,1/22/2025,
129,4,17,9,9/29/2024,
130,1,26,8,12/1/2024,
131,6,39,4,4/18/2025,
132,43,39,3,6/26/2025,
133,33,21,2,12/15/2024,
134,2,48,5,7/16/2025,
135,35,22,3,1/1/2025,
136,20,49,5,5/31/2025,
137,28,39,3,9/1/2024,
138,39,40,8,5/1/2025,
139,38,44,4,6/29/2025,
140,38,40,4,9/24/2024,
141,11,45,9,8/3/2025,
142,41,26,9,4/10/2025,
143,36,45,7,4/10/2025,
144,15,26,7,1/17/2025,
145,5,29,8,2/8/2025,
146,20,21,8,5/21/2025,
147,13,39,7,11/29/2024,
148,13,9,4,5/22/2025,
149,1,47,10,8/14/2024,
150,43,6,8,10/31/2024,
