item_threshold_id,min_quantity,item_item_id
1,4,110
2,1,61
3,3,35
4,4,92
5,4,121
6,1,79
7,1,139
8,2,34
9,1,48
10,2,2
11,3,6
12,4,66
13,1,31
14,1,100
15,1,21
16,2,108
17,2,45
18,1,83
19,2,8
20,3,33
21,2,28
22,3,21
23,3,94
24,2,149
25,1,5
26,2,149
27,3,139
28,2,56
29,3,1
30,3,94
31,1,89
32,1,19
33,2,132
34,3,87
35,1,119
36,4,69
37,1,20
38,3,14
39,3,61
40,2,115
41,2,109
42,4,127
43,1,24
44,1,141
45,3,21
46,2,53
47,2,60
48,2,94
49,1,88
50,3,136
51,1,21
52,2,99
53,2,132
54,2,42
55,2,28
56,2,59
57,3,97
58,1,99
59,2,1
60,4,106
61,4,54
62,1,2
63,3,6
64,2,127
65,2,124
66,1,77
67,3,58
68,1,108
69,4,124
70,3,137
71,1,137
72,1,51
73,2,43
74,3,28
75,1,71
76,1,131
77,2,95
78,1,144
79,2,104
80,2,38
81,3,29
82,2,42
83,2,95
84,2,90
85,3,72
86,2,111
87,1,54
88,4,118
89,2,53
90,2,80
91,3,13
92,3,26
93,1,78
94,1,75
95,3,11
96,1,131
97,3,68
98,3,58
99,4,139
100,4,3
101,1,90
102,4,30
103,4,118
104,2,82
105,3,60
106,2,49
107,3,67
108,1,0
109,3,32
110,2,49
111,4,53
112,2,146
113,2,10
114,4,87
115,2,98
116,2,27
117,2,38
118,1,124
119,1,35
120,2,65
121,4,117
122,1,107
123,4,36
124,2,1
125,4,107
126,3,136
127,3,18
128,3,33
129,1,91
130,2,114
131,2,53
132,1,107
133,3,102
134,4,64
135,4,150
136,2,62
137,1,119
138,4,112
139,1,111
140,3,107
141,2,70
142,2,48
143,2,1
144,1,135
145,3,82
146,3,49
147,2,7
148,4,89
149,1,47
150,4,110
